Scenario 7: Editing No Results Page
  Tags: ['@javascript']
  Given  the following BingV7 Affiliates exist:
  And  I am logged in with email "john@agency.gov"
  When  I go to the agency.gov's No Results Page page
  And  I fill in "Additional Guidance Text" with "The GSA apologizes for not having any relevant results."
  And  I submit the form by pressing "Save"
  Then  I should see "You have updated your No Results Page"
  And  the "Additional Guidance Text" field should contain "The GSA apologizes for not having any relevant results."
  When  I follow "Add Another Alternative Link"
  Then  I should be able to access 2 no results pages alternative link rows
  And  I fill in the following:
  And  I submit the form by pressing "Save"
  Then  I should see "You have updated your No Results Page."
  And  the "Alternative Link Title 0" field should contain "News"
  And  the "Alternative Link URL 0" field should contain "http://news.agency.gov"
  And  the "Alternative Link Title 1" field should contain "Blog"
  And  the "Alternative Link URL 1" field should contain "http://blog.agency.gov"
  When  I am on agency.gov's search page
  Then  I should not see "News"
  Then  I should not see a link to "http://news.agency.gov"
  Then  I should not see "Blog"
  Then  I should not see a link to "http://blog.agency.gov"
  And  I fill in "Enter your search term" with "hdakfjd;kljowaurei;ak"
  And  I submit the form by pressing "Search"
  Then  I should see "The GSA apologizes for not having any relevant results."
  And  I should see a link to "News" with url for "http://news.agency.gov"
  And  I should see a link to "Blog" with url for "http://blog.agency.gov"
  When  I go to the agency.gov's No Results Page page
  And  I fill in the following:
  And  I submit the form by pressing "Save"
  Then  I should be able to access 1 no results pages alternative link rows
  When  I am on agency.gov's search page
  And  I fill in "Enter your search term" with "hdakfjd;kljowaurei;ak"
  And  I submit the form by pressing "Search"
  Then  I should not see "News"
  Then  I should not see a link to "http://news.agency.gov"

