Scenario 2: In Spot market amending an order in a way that increases the volume sufficiently leads to holding account balance increasing (0004-AMND-049). In Spot market amending an order in a way that decreases the volume sufficiently leads to holding account balance decreasing (0004-AMND-050). In Spot market, if an order is amended such that holding requirement is increased and user has sufficient balance in the general account to top up their holding account then the amendment is executed successfully (0011-MARA-018).
  Given  the parties deposit on asset's general account the following amount:
  When  the parties place the following orders:
  Then  the opening auction period ends for market "BTC/ETH"
  And  the trading mode should be "TRADING_MODE_CONTINUOUS" for the market "BTC/ETH"
  When  time is updated to "2019-11-30T00:00:04Z"
  When  the parties place the following orders:
  Then  "trader1" should have general account balance of "9999" for asset "BTC"
  Then  "trader1" should have holding account balance of "1" for asset "BTC"
  And  the parties amend the following orders:
  Then  "trader1" should have general account balance of "9995" for asset "BTC"
  Then  "trader1" should have holding account balance of "5" for asset "BTC"
  And  the parties amend the following orders:
  Then  "trader1" should have general account balance of "9997" for asset "BTC"
  Then  "trader1" should have holding account balance of "3" for asset "BTC"
  And  the parties amend the following orders:
  Then  "trader1" should have general account balance of "9997" for asset "BTC"
  Then  "trader1" should have holding account balance of "3" for asset "BTC"
  And  the orders should have the following status:

