Scenario 1: 0090-VAMM-002: When market.amm.minCommitmentQuantum is 1, mid price of the market 100, a user with 1000 USDT is able to create a vAMM with commitment 1000, base price 100, no upper price, lower price 85 and leverage ratio at lower bound 0.25
  Tags: ['@VAMM']
  Given  the parties deposit on asset's general account the following amount:
  When  the parties submit the following liquidity provision:
  Then  the network moves ahead "4" blocks
  And  the current epoch is "0"
  And  the parties place the following orders:
  When  the opening auction period ends for market "ETH/MAR22"
  Then  the following trades should be executed:
  And  the market data for the market "ETH/MAR22" should be:
  When  the parties submit the following AMM:
  Then  the AMM pool status should be:
  And  set the following AMM sub account aliases:
  And  the following transfers should happen:

